mineral,rank_mean,rank_std,rank_median,rank_q05,rank_q95,rank_iqr,year
Cobalt,1.578,1.092664632904351,1.0,1.0,4.0,1.0,2023
Antimony,5.729,1.9471925944805768,5.0,3.0,9.0,3.0,2023
Germanium,6.099,4.682862265751578,4.0,1.0,15.0,8.0,2023
Vanadium,6.414,4.59179746940128,6.0,1.0,16.0,8.0,2023
Manganese,6.466,4.187223901345615,6.0,1.0,13.0,8.0,2023
Nickel,7.08,3.5843548931432556,6.0,3.0,13.0,6.0,2023
Graphite,7.895,3.9537292522376895,7.0,2.0,14.0,8.0,2023
Beryllium,8.148,3.7791660455714298,8.0,3.0,15.0,5.0,2023
Zirconium,8.337,3.2111416972783995,9.0,2.0,13.0,5.0,2023
Palladium,8.658,2.0863930598044083,8.0,6.0,12.0,3.0,2023
Gallium,10.045,5.438655624324821,11.0,3.0,18.0,11.0,2023
Molybdenum,10.052,4.275195434129298,11.0,4.0,17.0,8.25,2023
Rare Earths,12.514,2.4028741123912423,13.0,9.0,16.0,4.0,2023
Silicon,12.675,4.092844365474944,13.0,6.0,19.0,7.0,2023
Lithium,12.94,3.9418777251457207,14.0,5.0,19.0,6.0,2023
Tungsten,14.95,3.554082159995742,16.0,8.0,19.0,6.0,2023
Platinum,16.261,1.6615892994359345,17.0,13.0,18.0,1.0,2023
Niobium,16.681,2.3852125691434716,16.0,12.0,20.0,4.0,2023
Copper,18.49,2.2117640018772344,19.0,13.0,20.0,2.0,2023
Aluminium,18.988,1.0629468472129733,19.0,17.0,20.0,2.0,2023
